Sex_mother ,time_interval,F1_Males,F1_Females,F1_Hermaphrodites,
Female,0h-8h,0,0,19,
Female,0h-8h,0,4,11,
Female,0h-8h,0,0,14,
Female,0h-8h,0,1,22,
Female,0h-8h,1,4,13,
Female,0h-8h,0,0,17,
Female,0h-8h,0,3,14,
Female,0h-8h,0,0,17,
Female,0h-8h,1,1,22,
Female,0h-8h,0,0,15,
Female,8h-16h,2,16,10,
Female,8h-16h,2,10,15,
Female,8h-16h,1,11,17,
Female,8h-16h,1,13,13,
Female,8h-16h,0,0,9,
Female,8h-16h,0,9,11,
Female,8h-16h,0,4,21,
Female,8h-16h,0,10,14,
Female,8h-16h,1,9,16,
Female,8h-16h,1,5,22,
Female,8h-16h,3,13,15,
Female,8h-16h,3,8,19,
Female,8h-16h,1,9,21,
Female,8h-16h,1,9,19,
Female,8h-16h,0,17,12,
Female,8h-16h,0,7,22,
Female,8h-16h,1,0,25,
Female,8h-16h,0,9,26,
Female,8h-16h,2,4,23,
Female,16h-24h,0,13,29,
Female,16h-24h,2,11,24,
Female,16h-24h,0,5,34,
Female,16h-24h,2,10,26,
Female,16h-24h,1,1,28,
Female,16h-24h,1,2,18,
Female,16h-24h,0,4,30,
Female,16h-24h,1,7,32,
Female,16h-24h,1,12,26,
Female,16h-24h,1,3,32,
Female,16h-24h,2,3,33,
Female,16h-24h,1,7,28,
Female,16h-24h,3,10,30,
Female,16h-24h,3,8,31,
Female,16h-24h,1,9,30,
Female,16h-24h,1,4,31,
Female,16h-24h,6,11,19,
Female,16h-24h,2,4,38,
Female,16h-24h,0,1,26,
Female,24h-32h,3,2,40,
Female,24h-32h,1,2,40,
Female,24h-32h,2,0,47,
Female,24h-32h,2,0,37,
Female,24h-32h,0,0,37,
Female,24h-32h,1,0,15,
Female,24h-32h,1,0,40,
Female,24h-32h,2,0,43,
Female,24h-32h,0,6,11,
Female,24h-32h,0,0,47,
Female,24h-32h,3,0,43,
Female,24h-32h,1,1,43,
Female,24h-32h,3,3,36,
Female,24h-32h,2,1,46,
Female,24h-32h,1,0,33,
Female,24h-32h,0,0,37,
Female,24h-32h,2,4,33,
Female,24h-32h,4,0,50,
Female,24h-32h,0,2,36,
Female,32h-40h,0,0,17,
Female,32h-40h,1,0,36,
Female,32h-40h,0,0,15,
Female,32h-40h,4,0,22,
Female,32h-40h,0,0,33,
Female,32h-40h,0,0,0,
Female,32h-40h,2,0,35,
Female,32h-40h,1,0,38,
Female,32h-40h,0,0,0,
Female,32h-40h,0,0,41,
Female,32h-40h,0,0,29,
Female,32h-40h,0,1,42,
Female,32h-40h,2,0,4,
Female,32h-40h,2,0,30,
Female,32h-40h,0,0,1,
Female,32h-40h,0,0,32,
Female,32h-40h,2,0,44,
Female,32h-40h,0,0,51,
Female,32h-40h,1,0,39,
Female,40h-48h,1,0,22,
Female,40h-48h,0,0,37,
Female,40h-48h,1,0,23,
Female,40h-48h,2,0,10,
Female,40h-48h,1,0,19,
Female,40h-48h,1,0,9,
Female,40h-48h,0,0,35,
Female,40h-48h,0,0,31,
Female,40h-48h,6,0,24,
Female,40h-48h,0,0,25,
Female,40h-48h,0,0,37,
Female,40h-48h,0,0,23,
Female,40h-48h,1,0,14,
Female,40h-48h,0,0,22,
Female,40h-48h,0,0,17,
Female,40h-48h,0,0,31,
Female,40h-48h,2,0,52,
Female,40h-48h,3,0,37,
Female,40h-48h,1,0,37,
Female,48h-56h,2,0,26,
Female,48h-56h,0,0,34,
Female,48h-56h,0,0,32,
Female,48h-56h,0,0,0,
Female,48h-56h,0,0,18,
Female,48h-56h,0,0,21,
Female,48h-56h,0,0,5,
Female,48h-56h,1,0,29,
Female,48h-56h,7,1,29,
Female,48h-56h,1,0,39,
Female,48h-56h,2,0,48,
Female,48h-56h,0,0,21,
Female,48h-56h,1,0,32,
Female,48h-56h,2,0,35,
Female,48h-56h,0,0,23,
Female,48h-56h,0,0,19,
Female,48h-56h,0,1,42,
Female,48h-56h,2,0,47,
Female,48h-56h,0,0,40,
Female,56h-64h,0,0,23,
Female,56h-64h,1,0,18,
Female,56h-64h,0,0,28,
Female,56h-64h,0,0,1,
Female,56h-64h,0,0,13,
Female,56h-64h,2,1,17,
Female,56h-64h,0,0,5,
Female,56h-64h,0,0,16,
Female,56h-64h,4,1,39,
Female,56h-64h,0,0,22,
Female,56h-64h,1,0,47,
Female,56h-64h,0,0,31,
Female,56h-64h,0,0,7,
Female,56h-64h,0,0,27,
Female,56h-64h,0,0,13,
Female,56h-64h,0,0,5,
Female,56h-64h,1,4,47,
Female,56h-64h,2,0,44,
Female,56h-64h,2,0,23,
Female,64h-72h,0,0,36,
Female,64h-72h,0,0,12,
